rpt_rec_num,provider_number,year,util_cd,fy_bgn_dt,fy_end_dt,beds,mcare_discharges,medicaid_discharges,tot_charges,tot_discharges,tot_discounts,tot_mcare_payment,ip_charges,icu_charges,ancillary_charges,hrrp_payment,vbp_payment,discount_factor,price,net_penalty,any_penalty
255957,010001,2009,F,10/01/2008,2009-09-30,338.0,43709.0,15161.0,980776069.0,135050.0,744725360.0,69842396.0,,,,,,0.24067747619563906,-764.6335818526182,0.0,0
269995,010001,2010,F,10/01/2009,2010-09-30,376.0,44902.0,16212.0,1116894148.0,148920.0,866681575.0,68677860.0,,,,,,0.22402532366030448,-660.2497644638428,0.0,0
9254,010001,2011,F,10/01/2010,2011-09-30,30.0,90432.0,16707.0,1208331516.0,148920.0,957726856.0,67336636.0,211963522.0,2670908.0,,3485894.0,747062.0,0.20739727192549695,-390.20039592251334,4232956.0,0
523417,010001,2012,F,10/01/2011,2012-09-30,30.0,87760.0,15986.0,1263055782.0,149328.0,1008222450.0,68299251.0,211624323.0,3206738.0,214831061.0,-2571341.0,-26550.0,0.20175936457571275,298.6796016919888,-2597891.0,1
540434,010001,2013,F,10/01/2012,2013-09-30,30.0,94243.0,15850.0,1305720014.0,148920.0,1043722920.0,71487840.0,214321502.0,2404587.0,216726089.0,17395.0,18277.0,0.20065334925623646,283.2231332756072,35672.0,0
551160,010001,2014,F,10/01/2013,2014-09-30,30.0,94934.0,16111.0,1451185686.0,139065.0,1160975767.0,69861859.0,231992999.0,2689596.0,234682595.0,2401206.0,-143408.0,0.19998124416450458,543.8892312367517,2257798.0,0
574262,010001,2015,F,10/01/2014,2015-09-30,30.0,89693.0,9014.0,1550672017.0,146000.0,1251601806.0,70341919.0,238867113.0,2570033.0,241437146.0,-3004560.0,323962.0,0.19286490484209207,404.7025303651869,-2680598.0,1
644872,010001,2016,F,10/01/2015,2016-09-30,30.0,97665.0,12838.0,1633882183.0,141642.0,1318947846.0,65062506.0,246974731.0,1916209.0,248890940.0,4814053.0,-334253.0,0.19275217042990422,702.3223905832169,4479800.0,0
629478,010001,2017,F,10/01/2016,2017-09-30,30.0,99315.0,13088.0,1707737153.0,141255.0,1382630232.0,72425265.0,250424328.0,2216554.0,252640882.0,,75.0,0.19037292737285783,566.6834420791963,75.0,0
685213,010001,2018,F,10/01/2017,2018-09-30,30.0,95560.0,13153.0,1839801396.0,119355.0,1498919335.0,68535114.0,262391792.0,2967141.0,265358933.0,-343403.0,-180908.0,0.18528198844784438,1252.2524697321544,-524311.0,1
708691,010001,2019,F,10/01/2018,2019-09-30,30.0,99283.0,11950.0,2029254258.0,124830.0,1648232920.0,68068016.0,289913337.0,2892995.0,292806332.0,1940043.0,476040.0,0.18776421756804806,1639.6871512858738,2416083.0,0
250123,010005,2009,F,10/01/2008,2009-09-30,103.0,10570.0,4851.0,184944919.0,41610.0,120670619.0,14531094.0,,,,,,0.3475321211717095,-468.1409149484536,0.0,0
263654,010005,2010,F,10/01/2009,2010-09-30,102.0,10028.0,4337.0,211055594.0,41610.0,144049273.0,14694679.0,,,,,,0.317481852672429,-465.2865239693496,0.0,0
285,010005,2011,F,10/01/2010,2011-09-30,30.0,19641.0,4591.0,221077673.0,41610.0,157766095.0,14228691.0,57980457.0,809564.0,,172461.0,-16510.0,0.28637707797838097,118.68648678900514,155951.0,0
514946,010005,2012,F,10/01/2011,2012-09-30,30.0,36415.0,5988.0,427968074.0,74664.0,305179101.0,26360576.0,98273561.0,1977953.0,,-593048.0,90170.0,0.28691152555459076,62.81834350956666,-502878.0,1
540435,010005,2013,F,10/01/2012,2013-09-30,30.0,38225.0,6484.0,440015587.0,74460.0,308596631.0,28049213.0,105103357.0,1743842.0,106847199.0,-926944.0,552251.0,0.2986688651099989,987.2954417282855,-374693.0,1
550955,010005,2014,F,10/01/2013,2014-09-30,30.0,37535.0,5861.0,454454041.0,74460.0,319866891.0,25007109.0,106029369.0,1891347.0,107920716.0,-546025.0,111377.0,0.2961512889264858,1053.882445241393,-434648.0,1
581564,010005,2015,F,10/01/2014,2015-09-30,30.0,38465.0,6598.0,470363349.0,74460.0,326824442.0,24623982.0,109894275.0,1670994.0,111565269.0,28687.0,35693.0,0.3051660111383381,1207.6086746662415,64380.0,0
594122,010005,2016,F,10/01/2015,2016-09-30,30.0,38875.0,6959.0,495817605.0,74664.0,343358959.0,24014755.0,115759101.0,1627692.0,117386793.0,142812.0,-83032.0,0.3074893760579558,1346.1015528242988,59780.0,0
620725,010005,2017,F,10/01/2016,2017-09-30,30.0,39191.0,6440.0,511279676.0,74460.0,360374415.0,22202500.0,119245660.0,1317824.0,120563484.0,215012.0,-74523.0,0.29515208228226153,1388.3758172788635,140489.0,0
684714,010005,2018,F,10/01/2017,2018-09-30,30.0,38089.0,7310.0,442429641.0,74460.0,294740172.0,20887434.0,121664659.0,1340955.0,123005614.0,-4507.0,15.0,0.33381458951571463,1683.6134032904479,-4492.0,1
705392,010005,2019,F,10/01/2018,2019-09-30,30.0,37048.0,7128.0,466278619.0,74460.0,308311473.0,20168712.0,128907716.0,1299271.0,130206987.0,18611.0,,0.338782735392806,1819.0699894747959,18611.0,0
257485,010006,2010,F,07/01/2009,2010-06-30,316.0,27482.0,8155.0,632059037.0,130670.0,502175755.0,38760376.0,,,,,,0.20549232650240545,-375.6287165174245,0.0,0
533593,010006,2011,F,07/01/2010,2011-06-30,30.0,55101.0,8267.0,615645687.0,130670.0,478311141.0,41851169.0,121491829.0,2110719.0,,-78177.0,-22232.0,0.22307400002950073,-188.94856626131926,-100409.0,1
10211,010006,2012,F,07/01/2011,2012-06-30,30.0,51598.0,8383.0,605110634.0,131028.0,481828440.0,38439796.0,108352959.0,1614139.0,,399266.0,76489.0,0.20373496526587231,-201.88408798415236,475755.0,0
524470,010006,2013,F,07/01/2012,2013-06-30,30.0,53005.0,7882.0,655761097.0,130670.0,528319308.0,39324210.0,112154776.0,2071334.0,,35613.0,166860.0,0.19434179548470532,-220.50219135217338,202473.0,0
543661,010006,2014,F,07/01/2013,2014-06-30,30.0,56768.0,8252.0,720463113.0,130670.0,583401217.0,44472345.0,112934350.0,2067298.0,,-320166.0,12418.0,0.19024137881157566,-305.7329019360304,-307748.0,1
567422,010006,2015,F,07/01/2014,2015-06-30,30.0,61331.0,8758.0,772733353.0,130670.0,628250760.0,45197985.0,121050209.0,2311191.0,123361400.0,-409063.0,-187527.0,0.18697600205694753,13.459348422905624,-596590.0,1
589477,010006,2016,F,07/01/2015,2016-06-30,30.0,60737.0,9073.0,777022906.0,131028.0,628700242.0,45503557.0,119073438.0,1710499.0,120783937.0,-666081.0,484942.0,0.1908858321353013,8.654417288779765,-181139.0,1
644873,010006,2017,F,07/01/2016,2017-06-30,30.0,61741.0,9676.0,760620790.0,130670.0,602292435.0,41908238.0,123037622.0,1520964.0,124558586.0,-125455.0,-1243.0,0.20815675443212645,144.3105804063574,-126698.0,1
639416,010006,2018,F,07/01/2017,2018-06-30,30.0,61692.0,9868.0,797300354.0,130670.0,635426091.0,39457965.0,124525656.0,1756247.0,126281903.0,198520.0,-46790.0,0.20302795826928732,171.352443748737,151730.0,0
691732,010006,2019,F,07/01/2018,2019-06-30,30.0,61969.0,10090.0,890905058.0,104170.0,720401395.0,39543173.0,135469724.0,1972967.0,137442691.0,210219.0,-28926.0,0.19138252888895368,309.59187132451996,181293.0,0
292657,010007,2009,F,10/01/2008,2009-09-30,73.0,5883.0,655.0,49087280.0,28470.0,33509498.0,6364368.0,,,,,,0.317348649181621,-281.7712843671138,0.0,0
263414,010007,2010,F,10/01/2009,2010-09-30,73.0,5504.0,675.0,44524679.0,28470.0,30174875.0,5207629.0,,,,,,0.32228876933621464,-226.75385352259863,0.0,0
283,010007,2011,F,10/01/2010,2011-09-30,30.0,7451.0,773.0,43931761.0,28470.0,30754356.0,4663014.0,13787870.0,236916.0,,-470177.0,-20244.0,0.29995166822472696,-21.70683870808336,-490421.0,1
514249,010007,2012,F,10/01/2011,2012-09-30,30.0,5867.0,619.0,41342505.0,28548.0,29618452.0,4277886.0,13454902.0,332772.0,,-584312.0,7784.0,0.2835835177379793,-16.221899636502986,-576528.0,1
540436,010007,2013,F,10/01/2012,2013-09-30,30.0,4350.0,463.0,40050369.0,16425.0,25049900.0,3366209.0,13224842.0,430681.0,13655523.0,-332641.0,41953.0,0.3745400947491895,568.3538514732481,-290688.0,1
551161,010007,2014,F,10/01/2013,2014-09-30,30.0,5123.0,421.0,46358808.0,16425.0,32472667.0,2823336.0,14213859.0,444069.0,14657928.0,625708.0,18232.0,0.2995361960126326,527.147760493197,643940.0,0
573483,010007,2015,F,10/01/2014,2015-09-30,30.0,5108.0,517.0,50529909.0,16425.0,35375817.0,3013700.0,14275371.0,347842.0,14623213.0,1146705.0,40018.0,0.2999034096815809,508.73931946629307,1186723.0,0
